horizon,bias,gate
0,-1.9965080023,0.1195700467
1,-1.9971275330,0.1195048541
2,-2.0135478973,0.1177878007
3,-2.0195791721,0.1171625257
4,-2.0257947445,0.1165211350
5,-2.0298733711,0.1161019206
6,-2.0349042416,0.1155866385
7,-2.0502104759,0.1140311211
8,-2.0588464737,0.1131615564
9,-2.0597898960,0.1130668893
10,-2.0676171780,0.1122843325
11,-2.0816719532,0.1108910218
12,-2.0939664841,0.1096846312
13,-2.0969719887,0.1093914807
14,-2.0995230675,0.1091431826
15,-2.1088016033,0.1082442850
16,-2.1200609207,0.1071622446
17,-2.1378052235,0.1054762900
18,-2.1407358646,0.1052000970
19,-2.1535155773,0.1040031612
20,-2.1568353176,0.1036942154
21,-2.1726112366,0.1022371128
22,-2.1731572151,0.1021870077
23,-2.1788055897,0.1016699597
24,-2.1906723976,0.1005912423
25,-2.1970715523,0.1000137702
26,-2.2055766582,0.0992508233
27,-2.2169730663,0.0982366204
28,-2.2232234478,0.0976843089
29,-2.2303740978,0.0970558524
30,-2.2355661392,0.0966017991
31,-2.2405393124,0.0961686596
32,-2.2524154186,0.0951413214
33,-2.2577595711,0.0946822390
34,-2.2685382366,0.0937623456
35,-2.2798361778,0.0928067490
36,-2.2894845009,0.0919976011
37,-2.2923369408,0.0917596072
38,-2.3016571999,0.0909858048
39,-2.3148989677,0.0898965299
40,-2.3104810715,0.0902586356
41,-2.3217468262,0.0893378407
42,-2.3306803703,0.0886136964
43,-2.3409104347,0.0877909809
44,-2.3494713306,0.0871077999
45,-2.3579699993,0.0864343569
46,-2.3581492901,0.0864202008
47,-2.3707683086,0.0854290873
48,-2.3792514801,0.0847686157
49,-2.3910670280,0.0838564187
50,-2.3995556831,0.0832065791
51,-2.4074616432,0.0826054737
52,-2.4161314964,0.0819508359
53,-2.4193713665,0.0817074105
54,-2.4329271317,0.0806960538
55,-2.4425587654,0.0799844190
56,-2.4470243454,0.0796564221
57,-2.4595699310,0.0787415355
58,-2.4601960182,0.0786961243
59,-2.4715723991,0.0778752491
60,-2.4835793972,0.0770173818
61,-2.4923610687,0.0763954371
62,-2.5004038811,0.0758298710
63,-2.5024681091,0.0756853297
64,-2.5174334049,0.0746450350
65,-2.5198075771,0.0744812116
66,-2.5303604603,0.0737570152
67,-2.5446557999,0.0727863386
68,-2.5536963940,0.0721785501
69,-2.5609374046,0.0716951340
70,-2.5676636696,0.0712487549
71,-2.5721147060,0.0709547698
72,-2.5879044533,0.0699209347
73,-2.5877683163,0.0699297935
74,-2.6003773212,0.0691141412
75,-2.6130695343,0.0683020130
76,-2.6196174622,0.0678864941
77,-2.6192953587,0.0679068863
78,-2.6280856133,0.0673526078
79,-2.6344013214,0.0669569597
80,-2.6556394100,0.0656422824
81,-2.6611411572,0.0653056353
82,-2.6657614708,0.0650241822
83,-2.6806566715,0.0641244575
84,-2.6885650158,0.0636514872
85,-2.6938478947,0.0633373559
86,-2.7024762630,0.0628273934
87,-2.7018525600,0.0628641322
88,-2.7170591354,0.0619742014
89,-2.7227261066,0.0616455860
90,-2.7288177013,0.0612941533
91,-2.7416846752,0.0605579950
92,-2.7536609173,0.0598802231
93,-2.7603135109,0.0595068149
